id;value;lang;country;creation_date;update_date
1;Music;Nakfa;Japan;2019-07-14;2019-07-15
2;Buckinghamshire Games;incentivize Tuna copy;Isle of Man;2019-07-14;2019-07-15
3;Georgia Industrial;connect Markets Chief;Montserrat;2019-07-14;2019-07-14
4;Awesome;Aruba;Vanuatu;2019-07-15;2019-07-14
5;compress South Georgia and the South Sandwich Islands;compelling mission-critical;Mali;2019-07-15;2019-07-15
6;back-end;Industrial;Isle of Man;2019-07-14;2019-07-14
7;24 hour;overriding;Pitcairn Islands;2019-07-14;2019-07-14
8;quantify Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;Guyana;2019-07-15;2019-07-14
9;payment;withdrawal COM;Kuwait;2019-07-14;2019-07-15
10;bus synthesize Idaho;Networked Sleek Metal Table Small;Japan;2019-07-15;2019-07-15
